City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,vao,-22.6667,167.4833,297.86,78,96,2.94,NC,1681952266
131,hailar,49.2,119.7,272.49,31,98,14.88,CN,1681952266
132,ascension,30.2169,-90.9001,299.27,57,0,1.54,US,1681952266
133,codrington,-38.2667,141.9667,289.22,72,92,4.65,AU,1681952266
134,castro,-24.7911,-50.0119,285.08,79,20,3.9,BR,1681952266
135,oranjemund,-28.55,16.4333,287.5,89,99,2.35,NA,1681952266
136,hithadhoo,-0.6,73.0833,301.63,71,100,2.38,MV,1681952266
137,atar,20.5169,-13.0499,297.82,22,94,1.36,MR,1681952267
138,hebi,35.8992,114.1925,296.14,48,0,9.05,CN,1681952267
139,serra talhada,-7.9919,-38.2983,296.44,81,100,1.54,BR,1681952267
140,bonthe,7.5264,-12.505,300.63,83,76,2.14,SL,1681952267
141,kahului,20.8947,-156.47,298.88,95,100,6.17,US,1681952267
142,lavrentiya,65.5833,-171.0,271.31,84,100,2.49,RU,1681952267
143,kunzell,50.5442,9.7179,277.62,81,100,1.79,DE,1681952267
144,beckley,37.7782,-81.1882,295.38,26,0,2.06,US,1681952150
145,san patricio,28.017,-97.5169,298.45,82,27,5.92,US,1681952268
146,mount isa,-20.7333,139.5,300.02,28,0,6.69,AU,1681952268
147,longyearbyen,78.2186,15.6401,262.06,79,20,2.06,SJ,1681952268
148,torbay,47.6666,-52.7314,274.97,95,100,7.72,CA,1681952268
149,coquimbo,-29.9533,-71.3436,288.0,82,0,3.09,CL,1681952103
150,kangaatsiaq,68.3065,-53.4641,263.64,79,44,1.1,GL,1681952268
151,mar del plata,-38.0023,-57.5575,285.34,75,40,2.06,AR,1681952268
152,ancud,-41.8697,-73.8203,285.34,97,96,1.21,CL,1681952268
153,bagan,54.1001,77.6646,270.86,39,13,3.08,RU,1681952268
154,norman wells,65.282,-126.8329,271.17,64,20,5.14,CA,1681952268
155,hami,42.8,93.45,281.52,14,48,1.82,CN,1681952268
156,concordia,-31.393,-58.0209,288.03,61,0,1.34,AR,1681952268
157,roebourne,-20.7833,117.1333,299.05,30,0,11.23,AU,1681952268
